,,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G4,G4,G4,G4,G4,G4,G4,G4,G4
F3,x.3.1,x.IMF3.RMSD,0.09088,0.090292,0.047903,0.029576,0.137327,0.031277,0.048889,0.045686,0.017047,0.022579,0.086564,0.090835,0.055679,0.030098,0.06327,0.622239,0.050616,0.05791,0.009516,0.024895,0.067164,0.037579,0,0.176652,0,0.020449,0.02147,0.047342,0.102499,0.229415
F3,y.3.1,y.IMF3.RMSD,0.076295,0.112701,0.183724,0.032179,0.204226,0.22276,0.014919,0.099887,0.005958,0.055661,0.247702,0.38626,0.023358,0.029214,0,0.531603,0.02846,0.207007,0.032841,0.03272,0.045897,0.02442,0,0.170214,0.018983,0.030729,0.027349,0.098635,0,0.252046
F3,x.3.4,x.IMF3.ApE,0.405646,0.406334,0.243731,0.363231,0.370284,0.482428,0.275795,0.381472,0.364946,0.366661,0.287973,0.310859,0.438805,0.447917,0.183593,0.360959,0.450628,0.320172,0.261186,0.507451,0.305754,0.295963,0,0.37155,0,0.312657,0.282972,0.330052,0.306485,0.368245
F3,y.3.4,y.IMF3.ApE,0.450477,0.389867,0.358516,0.42412,0.276456,0.381233,0.351852,0.392544,0.26771,0.262207,0.208397,0.317818,0.356577,0.517377,0,0.381922,0.464824,0.323674,0.405918,0.504056,0.249543,0.250796,0,0.317934,0.099938,0.383257,0.409795,0.372767,0,0.269893
F3,x.3.5,x.IMF3.Sap,0.455532,0.663877,0.312133,0.543086,0.693147,0.495235,0.34016,0.538997,0.766172,0.81093,0.578078,0.529079,0.788457,0.483191,0.334935,0.451985,0.523765,0.441833,0.719123,0.614715,0.313658,0.676887,0,0.474739,0,0.559616,0.453321,0.596297,0.504556,0.484508
F3,y.3.5,y.IMF3.Sap,0.388752,0.732888,0.529518,0.802346,0.402224,0.450235,0.587787,0.644829,0.524524,0.31393,0.33244,0.341171,0.520901,0.611943,0,0.45707,0.515565,0.501256,0.955511,0.600957,0.325422,0.42216,0,0.430245,0.405465,0.467023,0.620827,0.475424,0,0.522522
F4,x.4.1,x.IMF4.RMSD,0.051743,0.076009,0.134424,0,0.25437,0.081984,0,0.059897,0.017259,0.026174,0.281934,0.04561,0,0.035222,0,0,0.129204,0,0,0.026852,0,0,0,0,0,0.025976,0.011127,0.146548,0,0
F4,y.4.1,y.IMF4.RMSD,0.188796,0.103612,0.321212,0.055941,0,1.154478,0,0.135276,0.008048,0,0,0,0,0.029554,0,0,0.035563,0,0.018913,0.131603,0,0,0,0,0,0,0,0,0,0.373216
F4,x.4.4,x.IMF4.ApE,0.452626,0.313739,0.345605,0,0.255288,0.222554,0,0.217242,0.303584,0.221096,0.189421,0.249961,0,0.480426,0,0,0.373001,0,0,0.51962,0,0,0,0,0,0.324984,0.436326,0.241504,0,0
F4,y.4.4,y.IMF4.ApE,0.284933,0.235636,0.24469,0.199582,0,0.189816,0,0.300528,0.262459,0,0,0,0,0.473611,0,0,0.322096,0,0.342481,0.308555,0,0,0,0,0,0,0,0,0,0.251288
F4,x.4.5,x.IMF4.Sap,0.446287,0.349184,0.387116,0,0.326148,0.19232,0,0.291197,0.439951,0.178611,0.175565,0.38984,0,0.526243,0,0,0.393307,0,0,0.547846,0,0,0,0,0,0.337554,0.647685,0.274889,0,0
F4,y.4.5,y.IMF4.Sap,0.173349,0.308301,0.301407,0.291197,0,0.146877,0,0.372479,0.371127,0,0,0,0,0.463573,0,0,0.366051,0,0.424019,0.198866,0,0,0,0,0,0,0,0,0,0.306374
F5,x.5.1,x.IMF5.RMSD,0.048946,0,0,0,0,0.160332,0,0,0,0,0,0,0,0.075206,0,0,0.167795,0,0,0.054994,0,0,0,0,0,0,0,0,0,0
F5,y.5.1,y.IMF5.RMSD,0.332983,0,0,0,0,0,0,0,0,0,0,0,0,0.081056,0,0,0.086622,0,0,0.123217,0,0,0,0,0,0,0,0,0,0
F5,x.5.4,x.IMF5.ApE,0.174027,0,0,0,0,0.174283,0,0,0,0,0,0,0,0.292278,0,0,0.263456,0,0,0.293846,0,0,0,0,0,0,0,0,0,0
F5,y.5.4,y.IMF5.ApE,0.125932,0,0,0,0,0,0,0,0,0,0,0,0,0.19134,0,0,0.208619,0,0,0.174726,0,0,0,0,0,0,0,0,0,0
F5,x.5.5,x.IMF5.Sap,0.138257,0,0,0,0,0.136381,0,0,0,0,0,0,0,0.297642,0,0,0.234798,0,0,0.254419,0,0,0,0,0,0,0,0,0,0
F5,y.5.5,y.IMF5.Sap,0.089486,0,0,0,0,0,0,0,0,0,0,0,0,0.121677,0,0,0.17697,0,0,0.138457,0,0,0,0,0,0,0,0,0,0
F6,x.6.1,x.IMF6.RMSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,y.6.1,y.IMF6.RMSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,x.6.4,x.IMF6.ApE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,y.6.4,y.IMF6.ApE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,x.6.5,x.IMF6.Sap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,y.6.5,y.IMF6.Sap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
